,id,Genre,Track,Artist,valence,energy,danceability,key,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,popularity,audio,energy_standard,valence_standard
1690,0AfYeE3bfJRcq9J2hUJXmM,summer,How to Be a Heartbreaker,MARINA,0.8490000000000001,0.897,0.69,11,-4.696000000000001,0.0506,0.0142,0.0,0.108,140.05,221493,50,https://p.scdn.co/mp3-preview/43bbe78973d151620d3a807c3570e80d86cdd1f9?cid=b39a670615f14cfca30a8178b3bc3ed6,0.9350460600105315,1.322006325872665
1672,6G0MfBXF1QlLpgP8pKngzs,acoustic,Shoreline - Radio Version,Anna Ternheim,0.201,0.108,0.357,7,-15.385,0.0363,0.992,0.000648,0.109,117.584,212293,50,0,-2.2056239300525067,-1.0868115231018203
1673,0N9WhEz6DiBDvBxa6uJCTY,singer-songwriter,Eet,Regina Spektor,0.172,0.446,0.665,1,-11.884,0.0439,0.57,0.000669,0.0819999999999999,141.94,230866,50,https://p.scdn.co/mp3-preview/bb463036d152aae7267276041e0819fb7c498104?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.8601911586440061,-1.1946135564664193
1691,1jROHCeEzDr6VnV8EnBnik,party,Stoner,Young Thug,0.606,0.675,0.8759999999999999,3,-3.28,0.146,0.421,1.16e-06,0.0667,135.959,239999,50,https://p.scdn.co/mp3-preview/ea5ac470256854f8b0a31c11ef6ff862195f549d?cid=b39a670615f14cfca30a8178b3bc3ed6,0.051359446836901114,0.4186996325072327
1689,66GNPuAqtfDCUS38DVv4cr,techno,I Promised Myself,Basshunter,0.173,0.966,0.59,9,-4.388,0.105,0.1939999999999999,0.0297,0.0653,149.969,155817,50,https://p.scdn.co/mp3-preview/011c04308a0952427a5fcef05b1d83d6f0b4179d?cid=b39a670615f14cfca30a8178b3bc3ed6,1.2097054127536866,-1.1908962449710883
1688,6G1r9YfIWGGnhg240AU1o1,heavy-metal,The Things We Believe In,Orden Ogan,0.2,0.941,0.484,7,-4.593999999999999,0.0753,0.000615,9.06e-05,0.276,122.012,306047,50,https://p.scdn.co/mp3-preview/3f8df59c8e906d320ccde4fbd9050a5b7f847e14?cid=b39a670615f14cfca30a8178b3bc3ed6,1.1101911545134129,-1.0905288345971513
1687,4qGwoTBvRhJ7YGeoQGytJV,gospel,I Lift My Hands,Chris Tomlin,0.158,0.542,0.433,11,-5.589,0.0264,0.157,6.56e-05,0.12,83.93799999999999,278013,50,0,-0.478056407001355,-1.2466559174010532
1686,1hxq7kWQnwdhxgpEugBMGk,indie-pop,Dirty Paws,Of Monsters and Men,0.133,0.648,0.359,3,-7.06,0.035,0.108,0.0135,0.0555,111.733,278373,50,0,-0.05611595206259457,-1.339588704784328
1685,6BivCuyKJtgLa9ooFsvUoZ,club,Flicker,Porter Robinson,0.547,0.713,0.589,10,-3.756,0.0976,0.0331,0.000411,0.178,92.018,279000,50,0,0.20262111936211682,0.19937825428270417
1684,16nJl8NnriCJxraco5Zssm,jazz,Better Git It in Your Soul,Charles Mingus,0.76,0.5479999999999999,0.457,5,-12.486,0.0551,0.111,0.00016,0.103,88.8,440840,50,https://p.scdn.co/mp3-preview/f64b7c9a5862cf4c82fdc4632d0cae600db1dd4e?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.4541729850236897,0.9911656027882061
1683,6OzyK08svJmVBZGgKXi6Ni,malay,Ternyata Cinta,Padi,0.356,0.731,0.476,4,-7.499,0.0451,0.291,0.00141,0.0952,154.989,301373,50,https://p.scdn.co/mp3-preview/528d21aabeed350eb8ed275238a6749a3a330357?cid=b39a670615f14cfca30a8178b3bc3ed6,0.27427138529511397,-0.5106282413255162
1682,12MZRMXbJYQyorNxv8IRZ6,spanish,Un violinista en tu tejado,Melendi,0.58,0.843,0.512,1,-6.283,0.183,0.405,0.0,0.241,156.388,222720,50,https://p.scdn.co/mp3-preview/cfed79a9cede5b4285e18eca3ac791ae0c86383f?cid=b39a670615f14cfca30a8178b3bc3ed6,0.7200952622115401,0.3220495336286267
1681,3HvNzmI0hX2dXcE41lBMxi,honky-tonk,Tornado,Little Big Town,0.492,0.696,0.7390000000000001,3,-5.149,0.0247,0.0459,9.61e-05,0.107,97.004,223573,50,0,0.13495142375873065,-0.00507387796050076
1680,5DHHbWpMMfNQsJ5CpJKD4i,country,Head Over Heels,Seckond Chaynce,0.505,0.441,0.63,1,-9.829,0.0355,0.492,0.0,0.119,60.011,234866,50,https://p.scdn.co/mp3-preview/9fec5a74a9070e85242790285f5dcae88c3fea85?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.8800940102920609,0.043251171478802225
1679,2uPDOny5jb6teyb9WEKFyc,german,Hinterland,Casper,0.648,0.84,0.606,9,-8.288,0.0691,0.0566,0.000149,0.155,152.004,235186,50,https://p.scdn.co/mp3-preview/0da83f523ef5d8585cb353ffd35a9d8aca59497e?cid=b39a670615f14cfca30a8178b3bc3ed6,0.7081535512227072,0.5748267153111346
1678,3oIhthYPSKwAwJLA8JClkV,pop,Such A Boy,Astrid S,0.461,0.7759999999999999,0.6679999999999999,6,-5.167000000000001,0.111,0.0481,2.2e-06,0.0798,95.003,210680,50,0,0.45339705012760634,-0.12031053431576151
1677,6X0WsSsMMwam5AzVxlUUzo,club,Liberate,Eric Prydz,0.4589999999999999,0.88,0.509,5,-5.47,0.0355,0.0021,0.8370000000000001,0.6609999999999999,127.005,313388,50,0,0.8673763644071453,-0.1277451573064239
1676,0d4lixnAOojZyVfCydVSLM,j-rock,the same as...,ONE OK ROCK,0.366,0.933,0.392,5,-3.3760000000000003,0.0638,6.22e-05,0.0,0.0706,158.612,276640,50,https://p.scdn.co/mp3-preview/9cf88811fdb7b07cb57ec47f12710e976debfc10?cid=b39a670615f14cfca30a8178b3bc3ed6,1.0783465918765256,-0.4734551263722062
1675,1jjSjma0cfNUhyOUzQqt6J,indian,Tu Bin Bataye,A.R. Rahman,0.11,0.427,0.528,1,-10.848,0.0325,0.3989999999999999,0.0188,0.0931,120.076,357626,50,https://p.scdn.co/mp3-preview/07e15e8cc72de9c4017331c8f508a05d53f27fbd?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.9358219949066142,-1.4250868691769412
1674,2nWKk3ACZN7exdamcHvGMU,country,Don't Laugh At Me,Mark Wills,0.267,0.357,0.3989999999999999,5,-10.86,0.0279999999999999,0.389,0.0,0.159,178.088,217800,50,0,-1.2144619179793805,-0.8414689644099747
1651,666elemQTQGi8xbjAAdIgB,happy,Waiting All Night (feat. Ella Eyre),Rudimental,0.281,0.728,0.544,6,-5.358,0.05,0.00264,0.00959,0.427,174.983,292586,50,https://p.scdn.co/mp3-preview/7e490be7ba1c9e03b867e12f8cb51bb767c45dcc?cid=b39a670615f14cfca30a8178b3bc3ed6,0.2623296743062811,-0.7894266034753407
1650,4orPBWfQNUxs3RObirJwZR,british,Better Things,Massive Attack,0.523,0.182,0.588,9,-16.192,0.0567,0.337,0.294,0.0741,122.574,253933,50,0,-1.9110617256612963,0.1101627783947602
1649,34yIb7hw5SuR80au1BHTtt,gospel,Oh Happy Day,The Edwin Hawkins Singers,0.457,0.462,0.321,8,-10.711,0.0346,0.0961,0.0,0.102,116.782,308600,50,https://p.scdn.co/mp3-preview/f13a76a5eed5001e235ce84a3251e617296eea63?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.7965020333702308,-0.13517978029708552
1618,7wjsZ4GuNKZl2OnyAGElvr,soundtracks,You're No Different,Alan Silvestri,0.325,0.0258,0.256,7,-28.607,0.0391,0.987,0.972,0.1159999999999999,82.711,57133,50,https://p.scdn.co/mp3-preview/0ea397baffc558d051ab9f2cc09f07953a95adc7?cid=b39a670615f14cfca30a8178b3bc3ed6,-2.5328268111465264,-0.6258648976807769
