id,Genre,track_name,Artist,valence,energy,danceability,key,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,popularity,audio,energy_standard,valence_standard
5ghIJDpPoe3CfHMGu71E6T,alt-rock,Smells Like Teen Spirit,Nirvana,0.72,0.912,0.502,1,-4.556,0.0564,2.55e-05,0.000173,0.106,116.761,301920,80,,0.9950279081385993,0.8419312163048218
5IVuqXILoxVWvWEPm82Jxr,happy,Crazy In Love (feat. Jay-Z),Beyoncé,0.681,0.77,0.646,2,-6.596,0.226,0.00249,0.0,0.0715,99.165,236133,80,https://p.scdn.co/mp3-preview/023ccc9c406cafc5a3e3b4dd524b9092b45dacbf?cid=b39a670615f14cfca30a8178b3bc3ed6,0.4297847335741275,0.6969790745576567
51c94ac31swyDQj9B3Lzs3,grunge,Change (In the House of Flies),Deftones,0.179,0.853,0.269,7,-4.647,0.0854,0.000249,0.000246,0.118,141.581,299533,80,https://p.scdn.co/mp3-preview/d0fca1a516d07cea609f8f259faf940af456cdfa?cid=b39a670615f14cfca30a8178b3bc3ed6,0.7601733496927974,-1.1688151602391903
1e1JKLEDKP7hEQzJfNAgPl,hip-hop,Magnolia,Playboi Carti,0.443,0.582,0.791,11,-7.323,0.286,0.0114,0.0,0.35,162.991,181812,80,,-0.31856538486334235,-0.18760066225837838
0k2GOhqsrxDTAbFFSdNJjT,dancehall,Temperature,Sean Paul,0.822,0.6,0.951,0,-4.675,0.0685,0.106,0.0,0.0712,125.04,218573,80,https://p.scdn.co/mp3-preview/fd0b2beda757e9b8dcaf04e71c1d6cada0659765?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.24691484160869093,1.2210368177974082
54eZmuggBFJbV7k248bTTt,rock-n-roll,A Horse with No Name,America,0.831,0.506,0.654,11,-17.18,0.0535,0.686,0.0155,0.155,123.179,252239,79,https://p.scdn.co/mp3-preview/89200c908d805e98dd40aedf35f25a563713ffa6?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.6210899008274257,1.2544873120467541
3G6hD9B2ZHOsgf4WfNu7X1,children,Team,Lorde,0.416,0.578,0.69,6,-7.436,0.0929,0.167,0.0,0.305,99.961,193058,79,,-0.3344877278088204,-0.287952145006416
6wpGqhRvJGNNXwWlPmkMyO,rock,I Still Haven't Found What I'm Looking For,U2,0.657,0.774,0.564,1,-9.424,0.0368,0.0135,0.00191,0.0861,100.894,277476,79,,0.44570707651960556,0.607777756559401
3cKM7UXBZmgjEgEBTkaIlU,british,Strong,One Direction,0.338,0.663,0.741,0,-7.308,0.0434,0.0608,0.0,0.0931,115.013,184373,79,https://p.scdn.co/mp3-preview/e1fee9a7c5819d1bbc766b102953402595075575?cid=b39a670615f14cfca30a8178b3bc3ed6,0.003862059782589,-0.5778564285007467
3FtYbEfBqAlGO46NUDQSAt,indie-pop,Electric Feel,MGMT,0.561,0.803,0.763,1,-3.713,0.0351,0.0709,0.285,0.348,103.04,229640,79,https://p.scdn.co/mp3-preview/b288d1b3245bfa82243267c77fe152dbd696f3c8?cid=b39a670615f14cfca30a8178b3bc3ed6,0.5611440628743217,0.2509724845663786
2EoOZnxNgtmZaD8uUmz2nD,alt-rock,Black Hole Sun,Soundgarden,0.147,0.828,0.35,6,-5.373,0.041,0.000217,0.000161,0.0774,105.435,318586,79,,0.6606587062835594,-1.2877502509035312
3TcL0dyCMyr0kyTTc4NLgI,rainy-day,Who Says,Selena Gomez & The Scene,0.744,0.927,0.682,4,-2.915,0.0479,0.0843,0.0,0.149,101.019,195613,79,,1.054736694184142,0.9311325343030775
6zeE5tKyr8Nu882DQhhSQI,rock,Dust in the Wind,Kansas,0.387,0.322,0.475,7,-10.687,0.0283,0.367,0.00056,0.11,93.503,206266,79,https://p.scdn.co/mp3-preview/ddfc248171b5199053bafdefbc94ab5b335faa48?cid=b39a670615f14cfca30a8178b3bc3ed6,-1.3535176763194172,-0.3957370709209748
3MrRksHupTVEQ7YbA0FsZK,hard-rock,The Final Countdown,Europe,0.188,0.843,0.529,6,-6.908,0.0616,0.0628,0.000827,0.0608,117.662,310333,79,https://p.scdn.co/mp3-preview/eaa4589de811f47326f5a15013ed58bd62a9e96a?cid=b39a670615f14cfca30a8178b3bc3ed6,0.7203674923291022,-1.1353646659898444
1vxw6aYJls2oq3gW0DujAo,summer,Crazy,Gnarls Barkley,0.64,0.587,0.855,8,-4.589,0.0336,0.0505,0.00714,0.105,111.97,177933,79,https://p.scdn.co/mp3-preview/3d23901a1b268fa45dd67e663376cec97ff8c9b2?cid=b39a670615f14cfca30a8178b3bc3ed6,-0.29866245618149473,0.5445934896439699
6SKwQghsR8AISlxhcwyA9R,rainy-day,Marry You,Bruno Mars,0.452,0.82,0.621,10,-4.865,0.0367,0.332,0.0,0.104,144.905,230192,79,https://p.scdn.co/mp3-preview/6747a3674ec0b24ab9067972bb19291c3048a8d2?cid=b39a670615f14cfca30a8178b3bc3ed6,0.6288140203926031,-0.15415016800903247
